"build_id"	"build_name"	"number"	"type"	"campus_id"
"1"		"101"	"公共配套设施"	"1"
"2"		"102"	"公共配套设施"	"1"
"3"		"103"	"宿舍公寓"	"1"
"4"	"艺术学院楼"	"104"	"教学科研办公"	"1"
"5"		"105"	"宿舍公寓"	"1"
"6"		"106"	"教学科研办公"	"1"
"7"	"学五食堂"	"109"	"公共配套设施"	"1"
"8"		"110"	"教学科研办公"	"1"
"9"		"116"	"宿舍公寓"	"1"
"10"		"117"	"宿舍公寓"	"1"
"11"		"118"	"宿舍公寓"	"1"
"12"		"119"	"宿舍公寓"	"1"
"13"		"120"	"宿舍公寓"	"1"
"14"		"121"	"宿舍公寓"	"1"
"15"		"122"	"宿舍公寓"	"1"
"16"		"123"	"宿舍公寓"	"1"
"17"		"124"	"宿舍公寓"	"1"
"18"		"125"	"宿舍公寓"	"1"
"19"		"131"	"宿舍公寓"	"1"
"20"		"132"	"宿舍公寓"	"1"
"21"		"133"	"宿舍公寓"	"1"
"22"		"134"	"宿舍公寓"	"1"
"23"		"135"	"宿舍公寓"	"1"
"24"		"136"	"宿舍公寓"	"1"
"25"		"137"	"宿舍公寓"	"1"
"26"		"138"	"宿舍公寓"	"1"
"27"		"161"	"宿舍公寓"	"1"
"28"		"162"	"宿舍公寓"	"1"
"29"		"168"	"宿舍公寓"	"1"
"30"		"169"	"宿舍公寓"	"1"
"31"		"170"	"宿舍公寓"	"1"
"32"		"171"	"宿舍公寓"	"1"
"33"		"173"	"宿舍公寓"	"1"
"34"		"180"	"宿舍公寓"	"1"
"35"		"181"	"宿舍公寓"	"1"
"36"		"203"	"宿舍公寓"	"1"
"37"		"204"	"宿舍公寓"	"1"
"38"		"205"	"宿舍公寓"	"1"
"39"		"210"	"宿舍公寓"	"1"
"40"		"211"	"宿舍公寓"	"1"
"41"		"212"	"宿舍公寓"	"1"
"42"		"213"	"宿舍公寓"	"1"
"43"		"215"	"教学科研办公"	"1"
"44"		"216"	"教学科研办公"	"1"
"45"		"217"	"宿舍公寓"	"1"
"46"		"208"	"教学科研办公"	"1"
"47"		"234"	"教学科研办公"	"1"
"48"		"235"	"教学科研办公"	"1"
"49"		"236"	"教学科研办公"	"1"
"50"		"237"	"教学科研办公"	"1"
"51"		"240"	"教学科研办公"	"1"
"52"	""	"241"	"教学科研办公"	"1"
"53"		"253"	"宿舍公寓"	"1"
"54"		"256"	"宿舍公寓"	"1"
"55"		"257"	"公共配套设施"	"1"
"56"	"外语学院"	"258"	"教学科研办公"	"1"
"57"	"紫荆园"	"259"	"公共配套设施"	"1"
"58"	"冼为坚堂"	"260"	"教学科研办公"	"1"
"59"		"261"	"教学科研办公"	"1"
"60"	"第三教学楼 网络信息中心"	"262"	"教学科研办公"	"1"
"61"	"数学楼"	"266"	"教学科研办公"	"1"
"62"		"268"	"教学科研办公"	"1"
"63"	"锡昌堂"	"269"	"教学科研办公"	"1"
"64"	"中文堂"	"274"	"教学科研办公"	"1"
"65"	"文科楼"	"275"	"教学科研办公"	"1"
"66"	"门诊部"	"277"	"公共配套设施"	"1"
"67"	"门诊部"	"278"	"教学科研办公"	"1"
"68"	""	"279"	"公共配套设施"	"1"
"69"	"熊德龙学生活动中心"	"301"	"公共配套设施"	"1"
"70"	"英东体育馆"	"302"	"公共配套设施"	"1"
"71"	"保卫处"	"303"	"教学科研办公"	"1"
"72"		"304"	"教学科研办公"	"1"
